amh_1_1_12	amh_1_2_10	amh_2_1_12	amh_2_2_12	ban_1_1_12	ban_1_2_10	ban_2_1_10	ban_2_2_10	bed_1_1_12	bed_1_2_10	bed_2_1_12	bed_2_2_10	bpl_1_1_10	bpl_1_2_12	bpl_2_1_10	bpl_2_2_12	btt_1_1_12	btt_1_2_10	btt_2_1_12	btt_2_2_12	cmp_1_1_10	cmp_1_2_12	cmp_2_1_10	cmp_2_2_10	cpi_1_1_12	cpi_1_2_10	cpi_2_1_12	cpi_2_2_12	cqc_1_1_10	cqc_1_2_12	cqc_2_1_10	cqc_2_2_10
25.9103434530923	25.9901328085634	27.9906747928557	28.0375955552064	26.9213908790592	26.0743181496329	26.720647137143	27.1878402633558	26.4958730161201	26.4655951375905	26.5047865862523	24.8936568053085	24.6805345135771	25.1566450379172	NA	NA	27.1686493490049	27.0075070088352	22.9133538133826	23.9205499902783	23.5110732284295	25.81842312995	26.6240847597288	25.9988416842232	27.3985401027599	26.670630331487	27.6962920755471	27.8398119478502	28.1669185352361	26.0446455086238	24.8071948344722	25.1534526451029
34.9518851257448	34.8998702301362	34.4351748694575	34.5716683632502	34.815079212364	34.5650076570989	35.0247387877263	35.0119730948289	34.895840904814	34.9852785760455	34.7667905682104	35.2943139899638	35.451958301102	35.4549641407153	35.948789251685	36.0621834208946	35.3205523763465	35.1793157537762	35.6530478381178	35.6971067415388	34.1939397005064	34.5781828597431	35.042515088139	35.1477941276668	34.5361682005823	34.855046010246	34.6548290261527	34.7437476925634	32.311671732464	34.3575953853822	35.1189980016648	35.2787277696593
29.4780946858596	28.8994891813285	28.9926725245955	29.8328790039459	29.229642464329	28.7238542951325	29.589179670353	30.2707115161183	29.6301559445519	29.3076382101783	29.9085527989852	29.6125435428511	32.2740825887434	32.5204589114353	32.889712650694	33.5925148698875	31.3350977691731	29.5725952681224	30.7090592405058	30.7427138829218	28.6363051780196	30.9515101880085	30.2052360061205	30.3719580895602	29.1695243736991	29.0262516214731	29.8546832458515	30.2828572272455	26.7818195330641	29.3142841117946	30.5601877434022	29.6400417257797
35.0208237213273	34.9569809765018	33.4705079425697	34.89784812101	34.3429627679209	34.2800781219185	35.3055634958516	35.3973175942177	34.2225727421481	34.3303119006559	35.2390145601929	35.1033353492293	36.2052958103541	35.9912056632861	36.6913453232268	36.9861684228622	36.1376883191967	35.1001027527682	35.7499117831151	35.6387129229314	33.2372973624562	33.9746269990848	34.9821074923219	35.0936319908952	34.3791712644846	35.1890332430638	34.5211095975753	35.109213723685	30.759029424524	33.965208019518	35.5500847211102	34.8304457019927
23.3398263260331	23.4389669760952	20.6687022724948	22.7522547882487	NA	NA	NA	NA	22.5969779636916	NA	23.7236953648512	NA	24.8441102732854	24.3690369694809	26.4210182948295	26.1151833446044	27.7026515096803	27.1905768877187	28.3778559596916	28.2465096703956	28.5184634366713	28.7831264509025	29.7555915381373	29.8340712309102	28.2742141343552	28.7817670308542	27.5542871808746	27.7673663094478	23.7195293565204	24.4305105158453	27.6176369424082	27.5724255897218
26.0781131099258	26.2907295191833	25.1163574516533	25.6038176177225	25.9577079614444	25.2035480195385	25.9462651200962	25.7235431891145	26.177843432324	26.5593381861095	26.631352993498	26.2510213755641	25.6043405117407	25.6928231775377	25.7763359995866	25.7496999485035	25.7207525042823	25.4005989621789	25.2095696862868	25.4100019404531	24.7246094314063	24.4547853674214	25.8842162663967	26.0720442107886	25.6891855076119	26.1865857803531	26.1050483748245	26.1892009171417	22.2940516923492	23.5268505845186	26.2346457079818	25.7515226827183
29.1765955994817	29.1466692956754	29.393898425647	29.2904824284588	29.5760629079783	29.4475831610824	29.5028363924096	29.6292371141836	29.1429513831207	29.1259499358023	29.4374444713155	29.32276639965	28.0491491511508	28.056295043283	28.2583968474875	28.2066658152531	27.8530473326425	28.174524225803	28.0510518963481	28.0244941621207	29.6186595428827	29.2393244541413	29.725402367308	29.8021663782179	29.1809315363364	28.9007460106802	29.1198802889376	28.948374363937	29.9841115431281	29.1367002381377	29.4746489392611	29.8376491681051
29.5601606301596	29.4038017176563	29.9220419510033	29.8432784125375	30.1082668090339	30.2861644640726	30.1626707929083	30.4994852440306	29.9452948737766	29.9108644161079	29.8025683272235	30.2975998764235	27.7057115456873	27.4584358225609	27.8529923075933	27.8674802761595	28.1822638694622	28.4088874267956	28.5221814524102	28.5954245823263	30.712975659037	30.1961348478351	30.7259408163624	30.6673918076162	29.3444122732839	29.2007345735932	29.594746767335	29.50940496392	30.662945828154	30.737311649514	30.0269107079698	30.7147519642034
30.06377982653	30.3123847770723	30.8302713667745	30.7490275011843	30.8250931970367	30.9435319754207	30.9524337116095	31.1545267507712	30.4239669155519	30.4616729700773	30.6336949844789	30.9011284892343	28.761446967593	28.6103838793452	28.8348022070207	28.5715469648884	29.6410632705513	29.4122351597913	29.4374201134956	29.4392084644659	31.0019569525649	30.7958118995216	30.9211961056229	30.9931023089789	30.2324043774002	30.1780184069258	30.3583378951851	30.2585708053426	30.819928504136	30.9552443313622	30.4171702269798	30.8808481033934
29.4578110786721	29.5071130526908	29.7678727723509	29.7095462320223	29.5147625335881	29.4793327044155	29.5675511536109	29.7533615466792	29.4958652318853	29.4823463342845	29.2720429026774	29.1551823576737	29.4428197922905	29.3430221063716	28.9816497250138	29.0664963465303	29.4279860419055	29.392051182999	29.0699503172976	29.0979855106674	30.3166119681274	30.2672817870047	29.6224185747106	29.7109882359998	29.4683020122018	29.5182912656613	29.1291049724684	29.316477012559	29.8541270531502	30.0081004697937	29.047068836076	29.3679297215319
34.3691495312328	34.1895167848933	34.6899820888633	34.5152616562757	34.4205777677747	34.4740128383564	34.512608513656	34.7466239299175	34.2540515023848	34.2308793172505	33.9311306817214	34.7136840613264	33.6694155787249	33.7001512330577	34.6431046556199	34.2950017622056	34.3768975654876	34.2345539226449	34.7924578587701	34.6390898658179	35.0494567097346	35.0522939756963	35.2104654013883	35.0945389660136	34.212562007133	34.1624834278167	34.8069143689658	34.4987431987833	35.2193000464473	35.5209402384008	34.8511413816009	35.5482011091288
29.9034009642221	29.768334100004	30.2134241549488	30.1972599220783	30.1000833100666	29.927737874233	29.8893635700436	30.0527116885848	28.7835201313452	28.797278274984	29.0138723772326	29.0274601750772	29.4170576141491	29.3824686621475	29.9269928890371	30.0979900875159	29.6575119492221	29.3015657248004	30.1197730159361	30.1678184095444	30.1804361753373	29.7445597623917	30.1869477556371	30.5449829004415	29.6065053601402	29.7654893561494	29.9916519712112	30.2993909613293	30.1719962598501	30.7236229509732	30.7515926678588	31.0672162539311
29.1883934498943	29.3945012124074	29.0117879144665	29.1822216062681	28.7016499839991	28.7059248970604	28.9937304303796	28.8873474863448	29.4915970444014	29.6345532872527	29.5721845279686	29.8248942183605	29.426074229001	29.2609079082011	29.9035105380286	29.775182857179	29.4715790047512	29.5558305685053	29.8531310423526	29.8088284424213	28.5490351356898	28.7444156298134	29.737296331992	29.6316138754055	29.2717796442469	29.4512965983553	29.4560463704622	29.4598902422739	27.5052454062173	28.2640072413453	29.0769499211855	29.042826590311
28.4777193261487	28.3882600829702	28.4546829754081	28.4203760429739	28.4525179191154	28.7743955418514	28.3267516589589	28.5902981436279	28.1203823947148	28.1593390854967	28.1658199760037	28.2441281970756	27.8643229574875	27.8295229911284	27.6518337206961	27.723674695195	28.2450276994875	28.3362724845287	28.2732313060063	28.3921613130265	28.4895199794646	28.3430829829245	28.1103172716764	28.1566566250226	28.469601951327	28.3933119120016	28.2442751305359	28.3732690927323	28.3350508915048	28.2386434017606	27.8901414038672	27.9760408222853
